text	date	source	is_facist
Well, well, well.  Only a Jew could be this brutal as they are with killing Palestinian children. Look at his profile.  Kinda reminds you of Jeffrey Epstein.     Rachel Halupowski      Campaign Administrator at Jewish Federation   Portland, Oregon Area   Jewish Federation of Greater Portland	2019-07-10 11:53:00+00:00	Stormfront.org	0
Those thoughts have also come to me. We need statistics which show us if suicides among Whites are more common today than in the past in order to make a better judgment.     Maybe nature is just weeding out the weak.	2020-07-14 14:28:00+00:00	Stormfront.org	0
Video evidence to verify this...    From him to Bush jr, it's probably been the same clone, they just gave it a southern personality for Billy and some Negro jive for Obongo.      YouTube      They really let the cat out the bag here and officially admitted the technology has been developed and used. Clinton is probably one in this very clip.       YouTube	2020-01-02 20:03:00+00:00	Stormfront.org	0
"In protest of Trump bombing Syria Dickie Spencer, Mike Enoch, and their gang of merry little faggots decided to host a protest to ""Stop the war with Syria""  There was a live stream, and antifa showed up (happens around the 11 minute mark)  Here it is:"	2017-04-09 00:09:08+00:00	Iron March Posts	0
"Bills to honor Holocaust survivor move forward      Tuesday, February 19, 2019      A bill that would require the Holocaust be taught in schools are working through Salem.      Oregon lawmakers are working to recognize a local Holocaust survivor killed in a car crash late last year.     Alter Wiener, a survivor of the Holocaust who spent decades detailing his life story to groups across Washington County, died late last year after he was struck by a car while crossing Cornell Road.     Before his death, Wiener, 92, was working with Oregon Sen. Rob Wager, D-Lake Oswego, on a bill that would require the Holocaust and genocide be taught in Oregon schools.     Wiener died on Dec. 11, after he was struck by a car while crossing Cornell Road. Since his death, Hillsboro state Rep. Janeen Sollman, (D-Hillsboro) introduced a resolution that would honor Wiener for his years of work educating the community about the Holocaust.     ""He was precious,"" said Sollman, who knew Wiener for years.      Pamplin Media Group - Bills to honor Holocaust survivor move forward"	2019-02-20 05:13:00+00:00	Stormfront.org	0
She's a compulsive liar like all libtards and I don't believe anything she says. She thinks telling big lies is just good social skills. She said in a speech that the earth would end in 12 years if something wasn't done about climate change, but then a little later in a radio interview, she said you're socially retarded if you literally believed what she said.	2020-07-24 19:40:00+00:00	Stormfront.org	0
Another user said: Most people think they're at least average, it's called Dunning Krugereffect. Is it not possible to get tested in Bangladesh?  It is but I've never felt the need to take an IQ test.	2016-05-15 00:00:26+00:00	Iron March Posts	0
"Wanted to surrender: Teen in custody, accused of shooting 16-year-old girl, her mother | FOX6Now.com    Another example of a single mom with a White daughter who dates blacks and it got them shot.   The mom probably let her daughter watch too much Jew TV and raised her to not be ""racist""."	2019-05-10 08:41:00+00:00	Stormfront.org	0
"The elite love to plays games of deception on the public. One that comes to mind is the appearance of the father of the Orlando shooter at a HRC rally. Not just anywhere, but right behind Clinton for all to see.   With the George Floyd hoax drama, look at enough elements of this farce, and ultimately the takeaway is how unbelievably dumb and easily manipulated are the people by our elite overlords.   Talk about pushing the edges of the envelope with the George Floyd nonsense. Eventually, testing the public tolerances, with ongoing developments , from his criminal record including pointing a loaded gun at a pregnant woman, the obscene amount of drugs in his system, the porn actor past & the somewhat fake masonic tattoo on his chest (this last part is actually the elites being cheeky and sowing confusion). Still despite these details, the public still went on a rampage, George Floyd murals everywhere, he gets a gold casket and is shown up and down the nation like a fallen president.     The George Floyd card had to be played, as the establishment was losing the narrative on CV 19. Nursing home deaths and the report on the young black thug beating up the elderly White nursing home resident was becoming problematic. Within a day or so , we have the video going coast to coast of the ubiquitous George Floyd & ""I can't breathe"" is everywhere. Yet CV 19 deaths mysteriously seemed to stop to let everyone out and about to protest and loot. Nobody seemed to notice , more preoccupied in ensuring the talking points on the George Floyd farce, gelled with their assigned Left or Right positions."	2020-07-27 07:42:00+00:00	Stormfront.org	0
Manchester Superintendent Bolgen Vargas is in more hot water. He allegedly fired a former Principal, Sarah Lynch, and now Lynch is filing a lawsuit against him.      Former Manchester school principal files wrongful termination lawsuit against district         Vargas was most likely an Affirmative Action hire and his school district sounds like a dumpster fire.	2018-12-17 20:21:00+00:00	Stormfront.org	0
